type,percent,species,photo_start,trigger_temp,eq_version,x,y,threshold
coloring,10,ACRU,13,30,1,1,2,107
coloring,25,ACRU,13,30,1,1,2,186
coloring,50,ACRU,13,30,1,1,2,254
coloring,75,ACRU,13,30,1,1,2,316
coloring,90,ACRU,13,30,1,1,2,359
coloring,10,ACSA,14,28,2,1,1,71
coloring,25,ACSA,14,28,2,1,1,114
coloring,50,ACSA,14,28,2,1,1,146
coloring,75,ACSA,14,28,2,1,1,174
coloring,90,ACSA,14,28,2,1,1,194
coloring,10,FRAM,14,30,1,1,0,429
coloring,25,FRAM,14,30,1,1,0,525
coloring,50,FRAM,14,30,1,1,0,626
coloring,75,FRAM,14,30,1,1,0,821
coloring,90,FRAM,14,30,1,1,0,941
coloring,10,NYSY,14.5,28,2,1,1,69
coloring,25,NYSY,14.5,28,2,1,1,83
coloring,50,NYSY,14.5,28,2,1,1,101
coloring,75,NYSY,14.5,28,2,1,1,126
coloring,90,NYSY,14.5,28,2,1,1,180
coloring,10,PRSE,14,26,2,1,1,38
coloring,25,PRSE,14,26,2,1,1,79
coloring,50,PRSE,14,26,2,1,1,121
coloring,75,PRSE,14,26,2,1,1,150
coloring,90,PRSE,14,26,2,1,1,190
coloring,10,QUAL,14,30,1,1,2,342
coloring,25,QUAL,14,30,1,1,2,428
coloring,50,QUAL,14,30,1,1,2,534
coloring,75,QUAL,14,30,1,1,2,598
coloring,90,QUAL,14,30,1,1,2,657
coloring,10,QURU,14,30,1,1,1,543
coloring,25,QURU,14,30,1,1,1,659
coloring,50,QURU,14,30,1,1,1,754
coloring,75,QURU,14,30,1,1,1,853
coloring,90,QURU,14,30,1,1,1,923
coloring,10,QUVE,14,29,1,1,2,359
coloring,25,QUVE,14,29,1,1,2,440
coloring,50,QUVE,14,29,1,1,2,505
coloring,75,QUVE,14,29,1,1,2,556
coloring,90,QUVE,14,29,1,1,2,605
falling,10,ACRU,13,30,1,1,1,301
falling,25,ACRU,13,30,1,1,1,378
falling,50,ACRU,13,30,1,1,1,458
falling,75,ACRU,13,30,1,1,1,518
falling,90,ACRU,13,30,1,1,1,553
falling,10,ACSA,14,30,1,1,0,841
falling,25,ACSA,14,30,1,1,0,979
falling,50,ACSA,14,30,1,1,0,1111
falling,75,ACSA,14,30,1,1,0,1205
falling,90,ACSA,14,30,1,1,0,1315
falling,10,FRAM,13,7,1,0,0,273
falling,25,FRAM,13,7,1,0,0,276
falling,50,FRAM,13,7,1,0,0,282
falling,75,FRAM,13,7,1,0,0,290
falling,90,FRAM,13,7,1,0,0,295
falling,10,NYSY,14,30,1,1,1,541
falling,25,NYSY,14,30,1,1,1,588
falling,50,NYSY,14,30,1,1,1,641
falling,75,NYSY,14,30,1,1,1,775
falling,90,NYSY,14,30,1,1,1,889
falling,10,PRSE,14,30,1,1,1,517
falling,25,PRSE,14,30,1,1,1,678
falling,50,PRSE,14,30,1,1,1,793
falling,75,PRSE,14,30,1,1,1,880
falling,90,PRSE,14,30,1,1,1,938
falling,10,QUAL,14,30,1,1,2,492
falling,25,QUAL,14,30,1,1,2,572
falling,50,QUAL,14,30,1,1,2,668
falling,75,QUAL,14,30,1,1,2,742
falling,90,QUAL,14,30,1,1,2,795
falling,10,QURU,14,29,1,1,1,737
falling,25,QURU,14,29,1,1,1,822
falling,50,QURU,14,29,1,1,1,916
falling,75,QURU,14,29,1,1,1,985
falling,90,QURU,14,29,1,1,1,1051
falling,10,QUVE,14,30,1,1,2,510
falling,25,QUVE,14,30,1,1,2,585
falling,50,QUVE,14,30,1,1,2,647
falling,75,QUVE,14,30,1,1,2,704
falling,90,QUVE,14,30,1,1,2,764
